ID,英文名稱,中文名稱,圖片,更新時間,更新日期
5463490,kwashiorkor,紅孩症,,,2019-10-31
5463491,labor pain,陣痛,,,2019-10-31
5463492,labyrinth,迷路 {內耳},,,2019-10-31
5463493,lac operon {lactose operon},乳糖操縱組,,,2019-10-31
5463494,lacrimal gland,淚腺,,,2019-10-31
5463495,lactase,乳糖酶,,,2019-10-31
5463496,lacteal,乳糜管,,,2019-10-31
5463497,lactic acid,乳酸,,,2019-10-31
5463498,lactic acid fermentation,乳酸發酵,,,2019-10-31
5463499,Lactobacillus,乳酸菌[屬],,,2019-10-31
5463500,lactose,乳糖,,,2019-10-31
5463501,lactose operon {lac operon},乳糖操縱組,,,2019-10-31
5463502,lacuna {pl. lacunae},腔,,,2019-10-31
5463503,lacunae {sing. lacuna},腔,,,2019-10-31
5463504,lagging strand,延遲股,,,2019-10-31
5463505,lamella {pl. lamellae},[薄]板；[薄]片；瓣,,,2019-10-31
5463506,lamellae {sing. lamella},[薄]板；[薄]片；瓣,,,2019-10-31
5463507,lamina propria,固有層 {組織},,,2019-10-31
5463508,landscape ecology,地景生態[學],,,2019-10-31
5463509,Langerhans cell,蘭格漢[氏]細胞,,,2019-10-31
5463510,larynx,喉,,,2019-10-31
5463511,late wood {summer wood},夏材；晚材,,,2019-10-31
5463512,lateral meristem,側生分生組織,,,2019-10-31
5463513,lateral root,側根,,,2019-10-31
5463514,lateral sulcus,外側溝,,,2019-10-31
5463515,lateral tracheal trunk,側氣管幹,,,2019-10-31
5463516,law of independent assortment,獨立分配律,,,2019-10-31
5463517,law of segregation,分離律,,,2019-10-31
5463518,LDL {low-density lipoprotein},低密度脂蛋白,,,2019-10-31
5463519,leading strand,領先股,,,2019-10-31
5463520,leaf,葉,,,2019-10-31
5463521,leaf blade {blade},葉片,,,2019-10-31
5463522,leaf primordial,葉原體,,,2019-10-31
5463523,leaf sheath,葉鞘,,,2019-10-31
5463524,leaflet,小葉,,,2019-10-31
5463525,learned behavior,習得行為,,,2019-10-31
5463526,lecithin {phosphatidylcholine},卵磷脂,,,2019-10-31
5463527,leguminous bacteria {rhizobium  {pl. rhizobia}; root nodule bacteria},根瘤菌,,,2019-10-31
5463528,lemur,狐猴,,,2019-10-31
5463529,lenticel,皮孔,,,2019-10-31
5463530,leucoplast,白色體,,,2019-10-31
5463531,leucotriene,白三烯,,,2019-10-31
5463532,leukemia,白血病,,,2019-10-31
5463533,leukocyte {white blood cell; WBC},白血球,,,2019-10-31
5463534,LH {luteinizing hormone},黃體成長激素,,,2019-10-31
5463535,lichen,地衣,,,2019-10-31
5463536,ligament,韌帶,,,2019-10-31
5463537,ligand,配體,,,2019-10-31
5463538,ligand-gated ion channel,配體閘控[型]離子通道,,,2019-10-31
5463540,ligation,連接；結紮,,,2019-10-31
5463541,light microscope {=LM},光學顯微鏡,,,2019-10-31
5463542,light reactions,光反應,,,2019-10-31
5463543,light-harvesting center,光能捕獲中心,,,2019-10-31
5463544,light-harvesting complex,光能捕獲複合體,,,2019-10-31
5463545,lignification,木質化,,,2019-10-31
5463546,lignin,木質素,,,2019-10-31
5463547,ligule,葉舌,,,2019-10-31
5463548,limbic system,邊緣系統,,,2019-10-31
5463549,limnetic,湖沼[的],,,2019-10-31
5463550,limnetic zone,湖沼區,,,2019-10-31
5463551,limonene,檸檬烯,,,2019-10-31
5463552,linkage,連鎖,,,2019-10-31
5463553,linkage group,連鎖群,,,2019-10-31
5463554,linkage map,連鎖圖譜,,,2019-10-31
5463555,linked genes,連鎖基因,,,2019-10-31
5463556,lipase,脂酶,,,2019-10-31
5463557,lipid,脂質,,,2019-10-31
5463558,lipid bilayer,脂雙層,,,2019-10-31
5463559,lipofuscin,脂褐質,,,2019-10-31
5463560,lipopolysaccharide,脂多醣,,,2019-10-31
5463561,lipoprotein,脂蛋白,,,2019-10-31
5463562,liposome,微脂體,,,2019-10-31
5463563,liver,肝[臟],,,2019-10-31
5463564,liverwort {Hepatophyta},蘚類,,,2019-10-31
5463565,loci {sing. locus},基因座,,,2019-10-31
5463566,locus coeruleus,藍斑[核],,,2019-10-31
5463567,locus {pl. loci},基因座,,,2019-10-31
5463568,logistic population growth,推理曲線式族群成長；邏輯斯諦式族群成長,,,2019-10-31
5463569,long-day plant,長日照植物,,,2019-10-31
5463570,longitudinal section,縱切面,,,2019-10-31
5463571,long-night plant,長夜植物,,,2019-10-31
5463572,long-term memory,長期記憶,,,2019-10-31
5463573,loose connective tissue,疏鬆結締組織,,,2019-10-31
5463574,Lophura swinhoii,藍腹鷴,,,2019-10-31
5463575,lorica {seed coat},種皮,,,2019-10-31
5463576,lotus effect,蓮花效應,,,2019-10-31
5463577,low-density lipoprotein {=LDL},低密度脂蛋白,,,2019-10-31
5463578,luciferase,螢光素酶,,,2019-10-31
5463579,lung,肺,,,2019-10-31
5463580,luteal phase,黃體期,,,2019-10-31
5463581,lutein {xanthophyll},葉黃素,,,2019-10-31
5463582,luteinizing hormone {=LH},黃體成長激素,,,2019-10-31
5463583,lycopene,茄紅素,,,2019-10-31
5463584,lymph,淋巴[液],,,2019-10-31
5463585,lymph gland,淋巴腺,,,2019-10-31
5463586,lymph node,淋巴結,,,2019-10-31
5463587,lymphadenopathy,淋巴結腫大,,,2019-10-31
5463588,lymphatic capillary,微淋[巴]管,,,2019-10-31
5463589,lymphatic organ {lymphoid organ},淋巴器官,,,2019-10-31
5463590,lymphatic system,淋巴系統,,,2019-10-31
5463591,lymphatic vessel {lymph vessel},淋巴管,,,2019-10-31
5463592,lymphocyte,淋巴球；淋巴細胞,,,2019-10-31
5463593,lymphoid organ {lymphatic organ},淋巴器官,,,2019-10-31
5463594,lymphoma,淋巴瘤,,,2019-10-31
5463595,lysine,離胺酸,,,2019-10-31
5463596,lysis,裂解[作用]；溶解；胞溶,,,2019-10-31
5463597,lysogenic cycle,潛溶期,,,2019-10-31
5463598,lysogeny,潛溶[態],,,2019-10-31
5463599,lysosome,溶體,,,2019-10-31
5463600,lysozyme,溶菌酶,,,2019-10-31
5463601,lytic cycle,裂解期,,,2019-10-31
5463602,macaque,獼猴,,,2019-10-31
5463603,macroevolution,巨演化,,,2019-10-31
5463604,macromolecule,大分子；巨分子,,,2019-10-31
5463605,macrophage,巨噬細胞,,,2019-10-31
5463606,macula densa,緻密斑 {腎},,,2019-10-31
5463607,major histocompatibility complex {=MHC},主要組織相容性複體,,,2019-10-31
5463608,malate,蘋果酸鹽,,,2019-10-31
5463609,malic acid,蘋果酸,,,2019-10-31
5463610,malleus,鎚骨,,,2019-10-31
5463611,malnourishment {malnutrition},營養失調,,,2019-10-31
5463612,malnutrition {malnourishment},營養失調,,,2019-10-31
5463613,Malpighian tubule,馬氏管,,,2019-10-31
5463614,MALT {mucosal-associated lymphoid tissue},黏膜[層]淋巴組織,,,2019-10-31
5463615,maltase,麥芽糖酶,,,2019-10-31
5463616,maltose,麥芽糖,,,2019-10-31
5463617,mammal,哺乳類,,,2019-10-31
5463618,Mammalia,哺乳綱,,,2019-10-31
5463619,mangrove,紅樹林,,,2019-10-31
5463620,Manis pentadactyla,穿山甲；中國鯪鯉,,,2019-10-31
5463621,mannose,甘露糖,,,2019-10-31
5463622,mantle,外套膜,,,2019-10-31
5463623,map unit,圖譜單位,,,2019-10-31
5463624,marker,標記,,,2019-10-31
5463625,marsupial,有袋類,,,2019-10-31
5463626,mast cell,肥大細胞,,,2019-10-31
5463627,maternal homologue,母系同源染色體,,,2019-10-31
5463628,mating,交配,,,2019-10-31
5463629,matrices {sing. matrix},基質,,,2019-10-31
5463630,matrix {pl. matrices},基質,,,2019-10-31
5463631,measles,麻疹,,,2019-10-31
5463632,medulla,髓質,,,2019-10-31
5463633,medulla oblongata,延腦,,,2019-10-31
5463634,megaspore,大孢子,,,2019-10-31
5463635,megasporophyll,大孢子葉,,,2019-10-31
5463636,meiosis,減數分裂,,,2019-10-31
5463637,meiosis I,減數分裂I；減數分裂第一階段,,,2019-10-31
5463638,meiosis II,減數分裂II；減數分裂第二階段,,,2019-10-31
5463639,melanin,黑色素,,,2019-10-31
5463640,melatonin,褪黑激素,,,2019-10-31
5463641,membrane permeability,膜通透性,,,2019-10-31
5463642,membrane potential,膜電位,,,2019-10-31
5463643,membrane protein,膜蛋白,,,2019-10-31
5463644,memory cell,記憶細胞,,,2019-10-31
5463645,meninges,腦膜,,,2019-10-31
5463646,meningitis,腦膜炎,,,2019-10-31
5463647,meristem {meristematic tissue},分生組織,,,2019-10-31
5463648,meristematic tissue {meristem},分生組織,,,2019-10-31
5463649,Merychippus,中新馬[屬],,,2019-10-31
5463650,mesoderm,中胚層,,,2019-10-31
5463651,Mesohippus,漸新馬[屬],,,2019-10-31
5463652,mesophyll,葉肉；中型葉,,,2019-10-31
5463653,Mesosaurus,中龍屬,,,2019-10-31
5463654,Mesozoic era,中生代,,,2019-10-31
5463655,messenger RNA {=mRNA},傳訊RNA,,,2019-10-31
5463656,metabolic reaction,代謝反應,,,2019-10-31
5463657,metabolism,代謝[作用],,,2019-10-31
5463658,metabolite,代謝物,,,2019-10-31
5463659,metamerism,分節現象,,,2019-10-31
5463660,metaphase plate {equatorial plate},中期板；赤道板,,,2019-10-31
5463661,methanogen {methanogenic bacteria},甲烷菌；產甲烷菌,,,2019-10-31
5463662,methanogenic bacteria {methanogen},甲烷菌；產甲烷菌,,,2019-10-31
5463663,methionine,甲硫胺酸,,,2019-10-31
5463664,methylene blue,亞甲藍,,,2019-10-31
5463665,MHC {major histocompatibility complex},主要組織相容性複體,,,2019-10-31
5463666,micelle,微胞,,,2019-10-31
5463667,microbe,微生物,,,2019-10-31
5463668,microbody,微粒體,,,2019-10-31
5463669,microevolution,微演化,,,2019-10-31
5463670,microfibril,微纖絲,,,2019-10-31
5463671,microfilament {actin filament},微絲；肌動蛋白絲,,,2019-10-31
5463672,microglia,微膠細胞,,,2019-10-31
5463673,microinjection,顯微注射,,,2019-10-31
5463674,microsatellite DNA,微衛星DNA；微從屬DNA,,,2019-10-31
5463675,microscope,顯微鏡,,,2019-10-31
5463676,microsphere,微球,,,2019-10-31
5463677,microspore,小孢子,,,2019-10-31
5463678,microtubule,微管,,,2019-10-31
5463679,microvilli {sing. microvillus},微絨毛,,,2019-10-31
5463680,microvillus {pl. microvilli},微絨毛,,,2019-10-31
5463681,micturition reflex,排尿反射,,,2019-10-31
5463682,midbrain,中腦,,,2019-10-31
5463683,middle ear,中耳,,,2019-10-31
5463684,midrib,中肋,,,2019-10-31
5463685,migration,遷移；遷徙；洄游,,,2019-10-31
5463686,mimicry,擬態,,,2019-10-31
5463687,mineral,礦物質,,,2019-10-31
5463688,mineral salt,礦物鹽類,,,2019-10-31
5463689,mineralocorticoid {minerocorticoid},鹽皮質[激]素；礦物皮質[激]素,,,2019-10-31
5463690,minerocorticoid {mineralocorticoid},鹽皮質[激]素；礦物皮質[激]素,,,2019-10-31
5463691,missense mutation,誤義突變,,,2019-10-31
5463692,mitochondria {sing. mitochondrion},粒線體,,,2019-10-31
5463693,mitochondrial DNA {=mtDNA},粒線體DNA,,,2019-10-31
5463694,mitochondrial inner membrane,粒線體內膜,,,2019-10-31
5463695,mitochondrial outer membrane,粒線體外膜,,,2019-10-31
5463696,mitochondrion {pl. mitochondria},粒線體,,,2019-10-31
5463697,mitosis,有絲分裂,,,2019-10-31
5463698,mitotic phase {=M phase},[胞核]分裂期 {細胞周期},,,2019-10-31
5463699,mitral valve {bicuspid valve},二尖瓣；僧帽瓣,,,2019-10-31
5463700,mixed nerve,混合神經,,,2019-10-31
5463701,modified leaf,特化葉,,,2019-10-31
5463702,modified root,特化根,,,2019-10-31
5463703,modified stem,特化莖,,,2019-10-31
5463704,Moeritherium,始祖象,,,2019-10-31
5463705,mold,黴菌,,,2019-10-31
5463706,molecular biology,分子生物學,,,2019-10-31
5463707,molecular farming,分子養殖；分子農牧,,,2019-10-31
5463708,mollusc {mollusk},軟體動物,,,2019-10-31
5463709,Mollusca,軟體動物門,,,2019-10-31
5463710,mollusk {mollusc},軟體動物,,,2019-10-31
5463711,Monera,原核生物界,,,2019-10-31
5463712,monocistronic mRNA,單順反子mRNA,,,2019-10-31
5463713,monoclonal antibody,單株抗體；單源抗體,,,2019-10-31
5463714,monocot {monocotyledon; monocotyledonous plant},單子葉植物,,,2019-10-31
5463715,monocotyledon {monocot; monocotyledonous plant},單子葉植物,,,2019-10-31
5463716,Monocotyledoneae,單子葉植物綱 {舊名},,,2019-10-31
5463717,monocotyledonous plant {monocot; monocotyledon},單子葉植物,,,2019-10-31
5463718,monocyte,單核球,,,2019-10-31
5463719,monocytosis,單核球增多症,,,2019-10-31
5463720,monogenesis,單源演化說,,,2019-10-31
5463721,monogony,無性繁殖；單性生殖,,,2019-10-31
5463722,monohybrid,單性狀雜合體,,,2019-10-31
5463723,monohybrid cross,單性狀雜合體互交,,,2019-10-31
5463724,monomer,單體,,,2019-10-31
5463725,monopolar neuron,單極神經元,,,2019-10-31
5463726,monosaccharide,單醣,,,2019-10-31
5463727,monosomic,單染色體[的],,,2019-10-31
5463728,monosomy,單染色體[態],,,2019-10-31
5463729,monotreme,單孔類,,,2019-10-31
5463730,morphology,形態[學],,,2019-10-31
5463731,mortality,死亡率,,,2019-10-31
5463732,morula,桑椹胚,,,2019-10-31
5463733,moss,苔類,,,2019-10-31
5463734,motor area,運動區,,,2019-10-31
5463735,motor association area,運動聯合區,,,2019-10-31
5463736,motor end plate,運動終板,,,2019-10-31
5463737,motor root,運動根,,,2019-10-31
5463738,mouth part,口器,,,2019-10-31
5463739,mRNA {messenger RNA},傳訊RNA,,,2019-10-31
5463740,mucin,黏液蛋白,,,2019-10-31
5463741,mucosa,黏膜[層],,,2019-10-31
5463742,mucosal-associated lymphoid tissue {=MALT},黏膜[層]淋巴組織,,,2019-10-31
5463743,mud flat,泥灘；泥岸,,,2019-10-31
5463744,multicellular organism,多細胞生物,,,2019-10-31
5463745,multiple alleles,複等位基因,,,2019-10-31
5463746,multiple fruit,多花果,,,2019-10-31
5463747,multiplication,增殖,,,2019-10-31
5463748,multipolar neuron,多極神經元,,,2019-10-31
5463749,multiregional hypothesis,多區域說,,,2019-10-31
5463750,muscle cell {myocyte},肌肉細胞,,,2019-10-31
5463751,muscle spindle,肌梭,,,2019-10-31
5463752,muscular dystrophy,肌肉萎縮症,,,2019-10-31
5463753,muscularis externae,肌膜層,,,2019-10-31
5463754,muscularis mucosae,黏膜肌層,,,2019-10-31
5463755,mutagen,致突變原,,,2019-10-31
5463756,mutation,突變,,,2019-10-31
5463757,mutualism,互利共生,,,2019-10-31
5463758,myasthenia gravis,重症肌無力,,,2019-10-31
5463759,mycelium,菌絲體,,,2019-10-31
5463760,Mycetae,真菌界 {舊名},,,2019-10-31
5463761,mycoplasma,黴漿菌,,,2019-10-31
5463762,mycorrhiza {pl. mycorrhizae; mycorrhizas},菌根,,,2019-10-31
5463763,mycorrhizae {sing. Mycorrhiza; mycorrhizas},菌根,,,2019-10-31
5463764,mycorrhizas {sing. Mycorrhiza; mycorrhiza},菌根,,,2019-10-31
5463765,myelin sheath,髓鞘,,,2019-10-31
5463766,myocardium,心肌,,,2019-10-31
5463767,myofiber,肌纖維,,,2019-10-31
5463768,myofibril,肌原纖維,,,2019-10-31
5463769,myofilament,肌絲,,,2019-10-31
5463770,myoglobin,肌紅素；肌紅蛋白,,,2019-10-31
5463771,myopia,近視,,,2019-10-31
5463772,myosin,肌凝蛋白,,,2019-10-31
5463773,myxedema,黏液性水腫,,,2019-10-31
5463774,Na+-K+ pump {sodium-potassium pump},鈉鉀幫浦；鈉鉀泵,,,2019-10-31
5463775,NAA {naphthalene acetic acid},萘乙酸,,,2019-10-31
5463776,NAD+ {nicotinamide adenine dinucleotide},菸鹼醯胺腺嘌呤二核苷酸 {氧化態},,,2019-10-31
5463777,NADH {nicotinamide adenine dinucleotide},菸鹼醯胺腺嘌呤二核苷酸 {還原態},,,2019-10-31
5463778,NADP+ {nicotinamide adenine dinucleotide phosphate},菸鹼醯胺腺嘌呤二核苷酸磷酸 {氧化態},,,2019-10-31
5463779,NADPH {nicotinamide adenine dinucleotide phosphate},菸鹼醯胺腺嘌呤二核苷酸磷酸 {還原態},,,2019-10-31
5463780,naphthalene acetic acid {=NAA},萘乙酸,,,2019-10-31
5463781,nasal cavity,鼻腔,,,2019-10-31
5463782,nasal passage,鼻道,,,2019-10-31
5463783,nastic,傾性[的],,,2019-10-31
5463784,nastic movement,傾性運動,,,2019-10-31
5463785,natality,出生率,,,2019-10-31
5463786,natural enemy,天敵,,,2019-10-31
5463787,natural killer cell {=NK},自然殺手細胞,,,2019-10-31
5463788,natural selection,天擇,,,2019-10-31
5463789,nature preserve {nature reserve; nature sanctuary},自然保留區,,,2019-10-31
5463790,nature reserve {nature preserve; nature sanctuary},自然保留區,,,2019-10-31
5463791,nature sanctuary {nature preserve; nature reserve},自然保留區,,,2019-10-31
5463792,Nautilus,鸚鵡螺[屬],,,2019-10-31
5463793,Neanderthal Man {Homo neanderthalensis},尼安德塔人,,,2019-10-31
5463794,needle leaf,針狀葉,,,2019-10-31
5463795,nematocyst,刺絲囊,,,2019-10-31
5463796,Nematoda,圓形動物門,,,2019-10-31
5463797,nematode,線蟲,,,2019-10-31
5463798,Neofelis nebulosa,雲豹,,,2019-10-31
5463799,nephric tubule,腎小管,,,2019-10-31
5463800,nephridia {sing. nephridium},腎管,,,2019-10-31
5463801,nephridium {pl. nephridia},腎管,,,2019-10-31
5463802,nephristomepore,腎孔,,,2019-10-31
5463803,nephrolith,腎結石,,,2019-10-31
5463804,nephron,腎元,,,2019-10-31
5463805,nephrostome,腎口,,,2019-10-31
5463806,nerve,神經,,,2019-10-31
5463807,nerve cell {neuron},神經元；神經細胞,,,2019-10-31
5463808,nerve fiber,神經纖維,,,2019-10-31
5463809,nerve impulse,神經衝動,,,2019-10-31
5463810,netted venation {reticulate venation},網狀[葉]脈,,,2019-10-31
5463811,neural crest,神經嵴,,20220719修訂,2022-07-19
5463812,neural groove,神經溝,,,2019-10-31
5463813,neural plate,神經板,,,2019-10-31
5463814,neural tube,神經管,,,2019-10-31
5463815,neuroendocrine,神經內分泌,,,2019-10-31
5463816,neuroglia {glia; glial cell},神經膠細胞,,,2019-10-31
5463817,neurohormone,神經激素,,,2019-10-31
5463818,neuromuscular junction,神經肌肉會合處,,,2019-10-31
5463819,neuron {nerve cell},神經元；神經細胞,,,2019-10-31
5463820,neuropeptide Y,神經肽Y,,,2019-10-31
5463821,neurosecretory cell,神經分泌細胞,,,2019-10-31
5463822,Neurospora crassa,紅麵包黴[菌],,,2019-10-31
5463823,neurotoxin,神經毒素,,,2019-10-31
5463824,neurotransmitter,神經傳遞物,,,2019-10-31
5463825,neutral fat,中性脂肪,,,2019-10-31
5463826,neutralization,中和[反應],,,2019-10-31
5463827,neutrophil,嗜中性球,,,2019-10-31
5463828,New World monkey,新大陸猴,,,2019-10-31
5463829,niacin,菸鹼酸,,,2019-10-31
5463830,Nicotiana,菸草[屬],,,2019-10-31
5463831,nicotinamide adenine dinucleotide phosphate {=NADP+; NADPH},菸鹼醯胺腺嘌呤二核苷酸磷酸,,,2019-10-31
5463832,nicotinamide adenine dinucleotide {=NAD+; NADH},菸鹼醯胺腺嘌呤二核苷酸,,,2019-10-31
5463833,nitrification,硝化作用,,,2019-10-31
5463834,nitrifying bacteria {nitrobacteria},硝化[細]菌,,,2019-10-31
5463835,nitrite,亞硝酸鹽,,,2019-10-31
5463836,nitrobacteria {nitrifying bacteria},硝化[細]菌,,,2019-10-31
5463837,nitrogen cycle,氮循環,,,2019-10-31
5463838,nitrogen fixation,固氮作用,,,2019-10-31
5463839,nitrogen oxide,氮氧化物,,,2019-10-31
5463840,nitrogenase,固氮酶,,,2019-10-31
5463841,nitrogen-fixing bacteria,固氮菌,,,2019-10-31
5463842,nitrogenous base {base},含氮鹼基；鹼基,,,2019-10-31
5463843,Nitrosomonas,亞硝化菌[屬],,,2019-10-31
5463844,NK {natural killer cell},自然殺手細胞,,,2019-10-31
5463845,nociceptor,[傷]痛覺受器,,20220517修訂,2022-07-15
5463846,node,節,,,2019-10-31
5463847,node of Ranvier,郎氏結；杭氏結 {法語發音},,,2019-10-31
5463848,nodule bacteria,根瘤菌,,,2019-10-31
5463849,noncoding sequence,非編碼序列,,,2019-10-31
5463850,noncyclic electron transport system,非循環[式]電子傳遞系統,,,2019-10-31
5463851,nondisjunction,無分離[現象],,,2019-10-31
5463852,non-gated channel {always-opened channel},常開通道,,,2019-10-31
5463853,nonrenewable resource,非再生[性]資源,,,2019-10-31
5463854,nonspecific defense,非專一性防禦,,,2019-10-31
5463855,nonvascular plant,無維管束植物,,,2019-10-31
5463856,noradrenaline {norepinephrine},去甲[基]腎上腺素,,,2019-10-31
5463857,norepinephrine {noradrenaline},去甲[基]腎上腺素,,,2019-10-31
5463858,normal distribution,常態分布,,,2019-10-31
5463859,notochord,脊索,,,2019-10-31
5463860,nuclear division,胞核分裂,,,2019-10-31
5463861,nuclear envelope {nuclear membrane},核[套]膜,,,2019-10-31
5463862,nuclear membrane,核膜,,,2019-10-31
5463863,nuclear pore,核孔,,,2019-10-31
5463864,nuclear pore complex,核孔複合體,,,2019-10-31
5463865,nuclease,核酸酶,,,2019-10-31
5463866,nuclei {sing. nucleus},細胞核；神經核,,,2019-10-31
5463867,nucleic acid,核酸,,,2019-10-31
5463868,nucleic acid hybridization,核酸雜合,,,2019-10-31
5463869,nuclein,核素,,,2019-10-31
5463870,nucleoid,擬核；類核,,,2019-10-31
5463871,nucleoid region,擬核區；類核區,,,2019-10-31
5463872,nucleoli {sing. nucleolus},核仁,,,2019-10-31
5463873,nucleolus {pl. nucleoli},核仁,,,2019-10-31
5463874,nucleoplasm,核質,,,2019-10-31
5463875,nucleoside,核苷,,,2019-10-31
5463876,nucleosome,核小體,,,2019-10-31
5463877,nucleotidase,核苷酸酶,,,2019-10-31
5463878,nucleotide,核苷酸,,,2019-10-31
5463879,nucleotide sequence {base sequence},核苷酸序列 {鹼基序列},,,2019-10-31
5463880,nucleus {pl. nuclei},細胞核；神經核,,,2019-10-31
5463881,nude mouse,裸鼠,,,2019-10-31
5463882,nutrient,養分,,,2019-10-31
5463883,nutritional anemia,營養性貧血,,,2019-10-31
5463884,nyctinastic movement {sleep movement},睡眠運動,,,2019-10-31
5463885,nyctinasty,感夜性,,,2019-10-31
5463886,nyctitropism,向夜性,,,2019-10-31
5463887,OAA {oxaloacetate},草醯乙酸鹽；草醯醋酸鹽,,,2019-10-31
5463888,obese gene ,肥胖基因,,,2019-10-31
5463889,objective lens,[接]物鏡,,,2019-10-31
5463890,obligate anaerobe,絕對厭氧生物；專性厭氧生物,,,2019-10-31
5463891,obligate anaerobic bacteria,絕對厭氧菌；專性厭氧菌,,,2019-10-31
5463892,obligate parasite,絕對寄生物；專性寄生物,,,2019-10-31
5463893,obligatory parasitism,絕對寄生；專性寄生,,,2019-10-31
5463894,occipital lobe,枕葉,,,2019-10-31
5463895,occludin,緊連蛋白,,,2019-10-31
5463896,occluding junction {tight junction},緊密型連結,,,2019-10-31
5463897,ocular lens,[接]目鏡,,,2019-10-31
5463898,oculomotor nerve,動眼神經,,,2019-10-31
5463899,Oddi sphincter,歐迪[氏]括約肌,,,2019-10-31
5463900,Okazaki fragment,岡崎[氏]片段,,,2019-10-31
5463901,Old World monkey,舊大陸猴,,,2019-10-31
5463902,oleic acid,油酸,,,2019-10-31
5463903,olfactory bulb,嗅球,,,2019-10-31
5463904,olfactory cell,嗅細胞,,,2019-10-31
5463905,olfactory mucous membrane,嗅黏膜,,,2019-10-31
5463906,olfactory nerve,嗅神經,,,2019-10-31
5463907,oligodendrocyte,寡樹突細胞,,,2019-10-31
5463908,oligodendroglia,寡樹突細胞,,,2019-10-31
5463909,oligosaccharide,寡醣,,,2019-10-31
5463910,omasum,重瓣胃,,,2019-10-31
5463911,omnivore,雜食動物,,,2019-10-31
5463912,omnivorous,雜食[的],,,2019-10-31
5463913,On the Origin of Species,物種起源,,,2019-10-31
5463914,oncogene,致癌基因,,,2019-10-31
5463915,Oncorhynchus masou,櫻花鉤吻鮭,,,2019-10-31
5463916,Oncorhynchus masou formosanum,臺灣櫻花鉤吻鮭,,,2019-10-31
5463917,ontogeny,個體發生,,,2019-10-31
5463918,oocyte,卵母細胞,,,2019-10-31
5463919,oogamy,卵配生殖；卵配結合,,,2019-10-31
5463920,oogonium,卵原細胞 {動物}；藏卵器 {藻菌},,,2019-10-31
5463921,oosperm,受精卵,,,2019-10-31
5463922,open circulatory system,開放[式]循環系統,,,2019-10-31
5463923,operator,操作子,,,2019-10-31
5463924,operculum,鰓蓋 {魚}；蒴蓋 {植物},,,2019-10-31
5463925,operon,操縱組,,,2019-10-31
5463926,opposite,對生[的] {植物},,,2019-10-31
5463927,optic nerve,視神經,,,2019-10-31
5463928,orangutan,猩猩,,,2019-10-31
5463929,order,目 {分類階層},,,2019-10-31
5463930,organ,器官,,,2019-10-31
5463931,organ of Corti,柯帝器 {耳},,,2019-10-31
5463932,organ system,器官系統,,,2019-10-31
5463933,organelle,胞器,,,2019-10-31
5463934,organism,生物；生物體；有機體,,,2019-10-31
5463935,osmoreceptor,滲透壓受器,,,2019-10-31
5463936,osmoregulation,滲透調節[作用],,,2019-10-31
5463937,osmosis,滲透,,,2019-10-31
5463938,osmotic pressure,滲透壓,,,2019-10-31
5463939,osseous tissue,骨骼組織,,,2019-10-31
5463940,osteocyte,骨細胞,,,2019-10-31
5463941,osteoporosis,骨質疏鬆症,,,2019-10-31
5463942,ostium,心孔,,,2019-10-31
5463943,otolith,耳石,,,2019-10-31
5463944,oval window,卵圓窗,,,2019-10-31
5463945,ovary,卵巢；子房 {植物},,,2019-10-31
5463946,overnourishment,營養過剩,,,2019-10-31
5463947,oviduct,輸卵管,,,2019-10-31
5463948,oviparity,卵生,,,2019-10-31
5463949,oviparous,卵生[的],,,2019-10-31
5463950,ovoviviparity,卵胎生,,,2019-10-31
5463951,ovoviviparous,卵胎生[的],,,2019-10-31
5463952,ovulation,排卵,,,2019-10-31
5463953,ovulatory phase,排卵期,,,2019-10-31
5463954,ovule,胚珠,,,2019-10-31
5463955,"ovum {egg, pl. ova}",卵,,,2019-10-31
5463956,Oxalis corniculata,酢漿草,,,2019-10-31
5463957,oxaloacetate {=OAA},草醯乙酸鹽；草醯醋酸鹽,,,2019-10-31
5463958,oxidase,氧化酶,,,2019-10-31
5463959,oxidation,氧化[作用],,,2019-10-31
5463960,oxidative phosphorylation,氧化磷酸化[作用],,,2019-10-31
5463961,oxygen,氧,,,2019-10-31
5463962,oxygen-storing protein,儲氧蛋白,,,2019-10-31
5463963,oxyhemoglobin,氧合血紅素；氧合血紅蛋白,,,2019-10-31
5463964,oxytocin,催產素,,,2019-10-31
5463965,ozone,臭氧,,,2019-10-31
5463966,P generation {parent generation},親代,,,2019-10-31
5463967,P site {peptidyl site},P位；肽醯位,,,2019-10-31
5463968,pacemaker,節律點,,,2019-10-31
5463969,palaeoanthropology,[考]古人類學,,,2019-10-31
5463970,Palaeoloxodon,古菱齒象屬,,,2019-10-31
5463971,Paleocene epoch,古新世,,,2019-10-31
5463972,paleontology,古生物學,,,2019-10-31
5463973,Paleozoic era,古生代,,,2019-10-31
5463974,palingenesis,重演性發生,,,2019-10-31
5463975,palisade mesophyll,柵狀葉肉,,,2019-10-31
5463976,palisade tissue,柵狀組織,,,2019-10-31
5463977,pancreas,胰[臟],,,2019-10-31
5463978,pancreatic islets {islets of Langerhans},胰島,,,2019-10-31
5463979,pancreatic juice,胰液,,,2019-10-31
5463980,pancreatic lipase {pancreatolipase},胰脂酶,,,2019-10-31
5463981,pancreatolipase {pancreatic lipase},胰脂酶,,,2019-10-31
